MS,X,Y,DURACAO_FRAMES,DATE_FIM
268.0,986.0,321.0,6,2022-04-10 14:15:10.610
1018.0,1054.0,619.0,21,2022-04-10 14:15:11.776
244.0,1003.0,396.0,6,2022-04-10 14:15:12.164
374.0,1101.0,280.0,7,2022-04-10 14:15:12.578
327.0,1069.0,388.0,7,2022-04-10 14:15:12.953
487.0,1087.0,567.0,10,2022-04-10 14:15:13.509
492.0,1115.0,432.0,11,2022-04-10 14:15:14.347
1049.0,1091.0,382.0,20,2022-04-10 14:15:15.489
1039.0,1085.0,520.0,20,2022-04-10 14:15:16.595
194.0,1092.0,417.0,5,2022-04-10 14:15:16.834
1405.0,1137.0,518.0,28,2022-04-10 14:15:18.291
555.0,1143.0,384.0,11,2022-04-10 14:15:18.901
1498.0,1129.0,491.0,30,2022-04-10 14:15:20.478
1047.0,1147.0,388.0,20,2022-04-10 14:15:21.578
623.0,1177.0,266.0,14,2022-04-10 14:15:22.245
1737.0,1169.0,387.0,33,2022-04-10 14:15:24.030
319.0,1095.0,264.0,7,2022-04-10 14:15:24.407
1727.0,1105.0,399.0,34,2022-04-10 14:15:26.175
1175.0,1076.0,292.0,23,2022-04-10 14:15:27.401
492.0,1052.0,158.0,11,2022-04-10 14:15:27.940
187.0,985.0,277.0,5,2022-04-10 14:15:28.179
1431.0,969.0,430.0,27,2022-04-10 14:15:29.660
2700.0,990.0,313.0,53,2022-04-10 14:15:32.429
508.0,1047.0,211.0,11,2022-04-10 14:15:32.981
455.0,1081.0,627.0,10,2022-04-10 14:15:33.574
143.0,1090.0,638.0,3,2022-04-10 14:15:33.912
164.0,1048.0,361.0,4,2022-04-10 14:15:34.183
535.0,1015.0,248.0,10,2022-04-10 14:15:34.767
284.0,1081.0,387.0,7,2022-04-10 14:15:35.101
446.0,1094.0,502.0,10,2022-04-10 14:15:35.594
235.0,1099.0,394.0,4,2022-04-10 14:15:35.884
462.0,1032.0,281.0,9,2022-04-10 14:15:36.401
138.0,1143.0,482.0,3,2022-04-10 14:15:36.650
681.0,1154.0,571.0,13,2022-04-10 14:15:37.434
192.0,1090.0,437.0,5,2022-04-10 14:15:37.675
530.0,1103.0,304.0,12,2022-04-10 14:15:38.255
145.0,1131.0,412.0,4,2022-04-10 14:15:38.441
104.0,1135.0,513.0,3,2022-04-10 14:15:38.591
399.0,1055.0,204.0,9,2022-04-10 14:15:39.099
458.0,1072.0,356.0,9,2022-04-10 14:15:39.599
165.0,1062.0,462.0,4,2022-04-10 14:15:39.810
387.0,1040.0,583.0,9,2022-04-10 14:15:41.348
252.0,1084.0,425.0,6,2022-04-10 14:15:41.649
209.0,1097.0,324.0,5,2022-04-10 14:15:41.905
230.0,1100.0,458.0,5,2022-04-10 14:15:42.195
411.0,987.0,518.0,8,2022-04-10 14:15:42.659
253.0,1072.0,493.0,6,2022-04-10 14:15:43.468
521.0,1078.0,291.0,12,2022-04-10 14:15:44.042
216.0,976.0,240.0,5,2022-04-10 14:15:44.305
385.0,1145.0,599.0,8,2022-04-10 14:15:45.865
589.0,718.0,618.0,13,2022-04-10 14:15:46.547
337.0,933.0,520.0,8,2022-04-10 14:15:47.024
560.0,1071.0,704.0,11,2022-04-10 14:15:47.635
562.0,1136.0,565.0,11,2022-04-10 14:15:48.246
452.0,1074.0,460.0,10,2022-04-10 14:15:48.745
113.0,1059.0,523.0,3,2022-04-10 14:15:49.387
147.0,1076.0,335.0,4,2022-04-10 14:15:49.579
547.0,1102.0,497.0,11,2022-04-10 14:15:50.183
215.0,1182.0,404.0,5,2022-04-10 14:15:51.254
372.0,1143.0,528.0,9,2022-04-10 14:15:51.673
291.0,1093.0,419.0,7,2022-04-10 14:15:52.004
307.0,1111.0,316.0,7,2022-04-10 14:15:52.360
188.0,1233.0,225.0,5,2022-04-10 14:15:52.616
227.0,1026.0,208.0,5,2022-04-10 14:15:52.908
335.0,1228.0,214.0,7,2022-04-10 14:15:53.298
311.0,1127.0,705.0,7,2022-04-10 14:15:53.748
740.0,1001.0,588.0,16,2022-04-10 14:15:54.541
286.0,1098.0,458.0,7,2022-04-10 14:15:54.875
507.0,1172.0,576.0,11,2022-04-10 14:15:55.441
475.0,1089.0,403.0,10,2022-04-10 14:15:55.985
345.0,1116.0,296.0,6,2022-04-10 14:15:56.402
350.0,1115.0,713.0,8,2022-04-10 14:15:56.847
219.0,1130.0,498.0,5,2022-04-10 14:15:58.077
440.0,1035.0,309.0,9,2022-04-10 14:15:58.583
610.0,1148.0,411.0,13,2022-04-10 14:15:59.379
300.0,1115.0,540.0,7,2022-04-10 14:15:59.730
418.0,1069.0,340.0,9,2022-04-10 14:16:00.205
467.0,1177.0,247.0,10,2022-04-10 14:16:00.734
236.0,1055.0,206.0,5,2022-04-10 14:16:01.052
108.0,1068.0,590.0,3,2022-04-10 14:16:01.381
459.0,1127.0,700.0,10,2022-04-10 14:16:01.904
404.0,1098.0,370.0,9,2022-04-10 14:16:02.408
497.0,1091.0,259.0,11,2022-04-10 14:16:02.961
